,tokens,text
5,valley unique year old electrical company join solar universe as our th franchise territory operate out of fresno,Valley Unique (35 year old electrical company) joins Solar Universe as our 5th franchise territory operating out of Fresno!
68,inc magazine just rank namast solar as the th fast grow company in the inc list hyperlink,Inc. Magazine just ranked Namasté Solar as the 56th fastest-growing company in the 2009 Inc 500 listing. http://bit.ly/7wkyP
76,statename 's own president obama hook 's up his grandmother with solar panel for her home in kenya read more at treehugger com,Hawaii's own President Obama hook's up his grandmother with solar panels for her home in Kenya.  Read more at TreeHugger.com
86,huffington post young entrepreneur talk about green his liquor company hyperlink let hope their office be solar powered,Huffington Post: Young entrepreneur talks about greening his liquor company http://bit.ly/19S701 ...lets hope their office is solar powered!
91,stimulus bill enable eldorado natural spring water to install kw commercial solar electric system hyperlink,"Stimulus Bill Enables Eldorado Natural Spring Water to Install 100kW Commercial Solar Electric System

 http://tinyurl.com/m8k63x"
104,come to west coast green thursday datetime from datetime to pm sungevity at west coast green come hyperlink,"Come to ""West Coast Green"" Thursday, October 1 from 9:00 am to 12:00 pm. Sungevity at West Coast Green!

Come... http://bit.ly/3DlvE6"
105,welcome to the sungevity family charles ferrer as cfo daphne li as coo and ariel tseitlin as vp of technology and product development,"Welcome to the Sungevity family Charles Ferrer as CFO, Daphne Li as COO and Ariel Tseitlin as VP of Technology and Product Development"
119,greenconvergence com bring la the best solar equipment on the market home improvement start here,"GreenConvergence.com , Bringing LA the BEST SOLAR EQUIPMENT ON THE MARKET!!!! Home Improvement Starts here."
127,many solar company be only license for solar the green convergence team be general electrical roofing and solar contractor,"Many solar companies are ONLY licensed for solar! The Green Convergence Team are general, electrical, roofing, AND solar contractors."
136,chamber of commerce sustainability forum this datetime at the ala moana hotel this be sure to be a great event,Chamber of Commerce Sustainability Forum this Thursday at the Ala Moana Hotel.  This is sure to be a great event.
159,revolusun 's ohana continue to grow datetime we welcome matthew nagatori alan ichyma to our pd team,RevoluSun's Ohana continues to grow... yesterday we welcomed Matthew Nagatori & Alan Ichyma to our PD Team.
164,sungevity support the community in which we work check out our terrawatt membership at solar sonoma county hyperlink,Sungevity supports the communities in which we work-- Check out our terrawatt membership at #Solar #Sonoma County! http://ow.ly/xIP2
168,mark duda president of the statename solar energy association found partner of revolusun speak about feed in tariff @ thinktechstatename com,Mark Duda President of the Hawaii Solar Energy Association & Founding Partner of RevoluSun.Speaks about Feed In Tariff @ ThinkTechHawaii.com
171,pacific business news today larry mcarthy be announce as dep statename and revolusun 's partner in finance read more at pacific bizjournals com,Pacific Business News today:Larry Mcarthy is announced as DEP Hawaii and RevoluSun's Partner in Finance.Read more at pacific.bizjournals.com
173,part of the rotary club come check out revolusun 's own eric carlson @ the windward club chapter datetime pm to learn about solar incentive,Part of the Rotary Club?  Come check out RevoluSun's own Eric Carlson @ the Windward Club Chapter today 12pm to learn about Solar Incentives
174,become a fan of revolusun on face book stay updated with all our revolusun event 's and contest,"Become a Fan of RevoluSun on Face Book,  Stay updated with all our RevoluSun event's and contests!"
190,sunpower complete mw power system for uc merced it will generate up to of the campus 's electricity hyperlink,"SunPower completes 1MW power system for UC Merced, it will generate up to 2/3  of the campus's electricity - http://shar.es/ay7y3"
