,tokens,text
150,companyreference at the pacific building trade show found partner mark duda will be lead a technical seminar on solar energy in hi,11/04/09 RevoluSun at the Pacific Building Trade Show.  Founding partner Mark Duda will be leading a technical seminar on Solar Energy in HI
163,usermention aia csi pacific building trade expo datereference th break down the evolution of solar energy advancement will you be on it,@ AIA/CSI Pacific Building Trade Expo Nov.4th...breaks down the evolution of solar energy advancements.  Will you be on it?
166,check out pacific biz journal people of make statename work section today feature companyreference partner marcus jones,"Check out Pacific Biz Journal ""People of Make Hawaii Work"" section today 10/30/09.  Features RevoluSun Partner Marcus Jones..."
171,pacific business news today larry mcarthy be announce as dep statename and companyreference 's partner in finance read more at pacific bizjournals com,Pacific Business News today:Larry Mcarthy is announced as DEP Hawaii and RevoluSun's Partner in Finance.Read more at pacific.bizjournals.com
935,statename business gain from heco s rebate shift hyperlink via @pacificbiznew,Hawaii businesses gain from HECOs rebate shift http://ow.ly/1Ldfz (via @pacificbiznews)
1177,rt twitterhandle publish statename to host asia pacific clean energy summit @ hyperlink,RT @HawaiiReporter Published: Hawaii to Host 2010 Asia-Pacific Clean Energy Summit @ http://ur.ly/fwFa
1201,upcoming statename ev grant and rebate program asia pacific clean energy summit and expo hced,"Upcoming: Hawaii EV Grant and Rebate Program, Asia Pacific Clean Energy Summit and Expo #hced2010"
1249,rt twitterhandle governor 's enewsletter mention statename to host asia pacific clean energy summit expo datereference sept hyperlink,RT @HCEI2030 Governor's eNewsletter mentions Hawaii to host Asia-Pacific Clean Energy Summit & Expo Aug. 30-Sept. 2 http://bit.ly/dgCazj
1747,rt twitterhandle register now for the asia pacific clean energy summit it ' the conference of the summer do not miss it hyperlink,RT @HCEI2030 Register now for the Asia Pacific Clean Energy Summit! It's THE conference of the summer! Don't miss it! http://bit.ly/bjomr8
1841,save the date asia pacific clean energy summit expo on at statename convention center hyperlink,Save the date! Asia Pacific Clean Energy Summit & Expo on 8/30-9/2 at Hawaii Convention Center! http://ow.ly/2aw5J
1952,asia pacific clean energy summit and expo from datereference to datereference at statename convention center hyperlink,Asia Pacific Clean Energy Summit and Expo from August 30 to September 2 at Hawaii Convention Center http://ow.ly/2e8IG
2035,asia pacific clean energy summit expo on datereference to datereference at the statename convention center hyperlink,Asia Pacific Clean Energy Summit & Expo on August 30 to September 2 at the Hawaii Convention Center http://ow.ly/2gXHh
2038,statename energy 's ray starling will speak at a m on at the asia pacific clean energy summit expo at the statename convention center,Hawaii Energy's Ray Starling will speak at 11 a.m. on 9/1 at the Asia Pacific Clean Energy Summit & Expo at the Hawaii Convention Center.
2054,asia pacific clean energy summit expo on datereference to datereference at the statename convention center hyperlink,Asia Pacific Clean Energy Summit & Expo on August 30 to September 2 at the Hawaii Convention Center http://ow.ly/2hwW5
2186,new firm will help resident with solar energy financing hyperlink via @pacificbiznew,New firm will help residents with solar-energy financing http://ow.ly/2mkdG (via @pacificbiznews)
2208,grid stability critical to state s energy future hyperlink via @pacificbiznew,Grid stability critical to states energy future http://ow.ly/2nFJ8 (via @pacificbiznews)
2219,asia pacific clean energy summit expo on datereference to datereference at the statename convention center hyperlink,Asia Pacific Clean Energy Summit & Expo on August 30 to September 2 at the Hawaii Convention Center http://ow.ly/2nQuC
2265,biofuels have supporter but scale remain an obstacle hyperlink via @pacificbiznew,"Biofuels have supporters, but scale remains an obstacle http://ow.ly/2prE8 (via @pacificbiznews)"
2325,rt twitterhandle logan energy plan fuel cell test for pacific missile range facility hyperlink,RT @pacificbiznews Logan Energy plans fuel-cell tests for Pacific Missile Range Facility http://bit.ly/d1ksoU
2393,rt twitterhandle hcei and the asia pacific clean energy summit expo gain recognition in a national energy newsletter hyperlink,RT @HCEI2030 HCEI and the Asia Pacific Clean Energy Summit & Expo gain recognition in a national energy newsletter! http://bit.ly/cc474o
2394,rt twitterhandle metcalf west to unveil unique solarpanelsreference system on big island hyperlink via @pacificbiznew,RT @HCEI2030 Metcalf West to unveil unique photovoltaic system on Big Island http://bit.ly/cxNJIr (via @pacificbiznews)
