,tokens,text
5,valley unique year old electrical company join solar universe as our th franchise territory operate out of cityname,Valley Unique (35 year old electrical company) joins Solar Universe as our 5th franchise territory operating out of Fresno!
61,tonight at timereference kipo fm on the ' energy future ' show will be mark duda of companyreference and riley saito of sunpower be sure to tune in,Tonight at 5:00 KIPO 89.3 fm on the 'Energy Futures' show will be Mark Duda of RevoluSun and Riley Saito of SunPower. Be sure to tune in!
68,inc magazine just rank namast solar as the th fast grow company in the inc list hyperlink,Inc. Magazine just ranked Namasté Solar as the 56th fastest-growing company in the 2009 Inc 500 listing. http://bit.ly/7wkyP
76,statename 's own president obama hook 's up his grandmother with solar panel for her home in kenya read more at treehugger com,Hawaii's own President Obama hook's up his grandmother with solar panels for her home in Kenya.  Read more at TreeHugger.com
86,huffington post young entrepreneur talk about green his liquor company hyperlink let hope their office be solar powered,Huffington Post: Young entrepreneur talks about greening his liquor company http://bit.ly/19S701 ...lets hope their office is solar powered!
91,stimulus bill enable eldorado natural spring water to install kw commercial solar electric system hyperlink,"Stimulus Bill Enables Eldorado Natural Spring Water to Install 100kW Commercial Solar Electric System

 http://tinyurl.com/m8k63x"
104,come to west coast green datereference datereference from timereference to timereference companyreference at west coast green come hyperlink,"Come to ""West Coast Green"" Thursday, October 1 from 9:00 am to 12:00 pm. Sungevity at West Coast Green!

Come... http://bit.ly/3DlvE6"
105,welcome to the companyreference family charles ferrer as cfo daphne cityname as coo and ariel tseitlin as vp of technology and product development,"Welcome to the Sungevity family Charles Ferrer as CFO, Daphne Li as COO and Ariel Tseitlin as VP of Technology and Product Development"
107,cnn talk companyreference up as a window in the recession thanks howard hyperlink,CNN talks Sungevity up as a window in the recession - thanks Howard! http://bit.ly/1OcaOB
119,greenconvergence com bring statename the best solar equipment on the market home improvement start here,"GreenConvergence.com , Bringing LA the BEST SOLAR EQUIPMENT ON THE MARKET!!!! Home Improvement Starts here."
127,many solar company be only license for solar the companyreference team be general electrical roofing and solar contractor,"Many solar companies are ONLY licensed for solar! The Green Convergence Team are general, electrical, roofing, AND solar contractors."
131,read about our founder danny here rt @marcgunther solar power to the people blogpost about companyreference hyperlink,Read about our founder Danny here: RT @marcgunther (Solar) power to the people--blogpost about Sungevity http://bit.ly/4bDJ0q
136,chamber of commerce sustainability forum this datereference at the ala moana hotel this be sure to be a great event,Chamber of Commerce Sustainability Forum this Thursday at the Ala Moana Hotel.  This is sure to be a great event.
138,watch companyreference datereference th on kgmb channel statename 's home energy makeover put on by the blue planet foundation we be happy to help out,"Watch RevoluSun Oct.18th on KGMB channel 7, ""Hawaii's Home Energy Makeover"" put on by the Blue Planet Foundation. We were happy to help out!"
139,ready for el ni o for a limited time companyreference will supply a free roof include year manufacturer 's hyperlink,"Ready for El Niño? For a limited time, Green Convergence will supply a FREE roof (included 40 year Manufacturer's... http://bit.ly/1pGC0m"
151,sunpower announce world strong solar panel watt @ % efficiency companyreference be statename 's prefer sunpower dealer,SunPower announces worlds strongest Solar panel 333 Watts @ 20.4% efficiency! RevoluSun is Hawaii's preferred SunPower Dealer 808.748.8888
152,come say hello to companyreference we 're at booth at solar power international,"Come say hello to Sungevity, we're at booth 431 at Solar Power International"
154,watch khon @ timereference today companyreference 's eric carlson talk with kirk matthew about how you can win a free sunpower pv system,Watch KHON2 @ 5pm today -  RevoluSun's Eric Carlson talks with Kirk Matthews about how you can win a FREE SunPower PV System!
156,statename energy makeover again datereference night kgmb@timereference companyreference be choose to install the p v system for the lagon family happy help,"""Hawaii Energy Makeover"" again tomorrow night. KGMB@6:30.  RevoluSun was chosen to install the P.V system for the Lagon family. Happy2Help!"
159,companyreference 's ohana continue to grow datereference we welcome matthew nagatori alan ichyma to our pd team,RevoluSun's Ohana continues to grow... yesterday we welcomed Matthew Nagatori & Alan Ichyma to our PD Team.
162,found partner of companyreference todd mark be attend sunpower 's dealer 's conference solar power international in anaheim statename,"Founding partners of RevoluSun Todd&Mark are attending SunPower's Dealer's Conference & Solar Power International 2009 in Anaheim,CA."
164,companyreference support the community in which we work check out our terrawatt membership at solar cityname county hyperlink,Sungevity supports the communities in which we work-- Check out our terrawatt membership at #Solar #Sonoma County! http://ow.ly/xIP2
166,check out pacific biz journal people of make statename work section today feature companyreference partner marcus jones,"Check out Pacific Biz Journal ""People of Make Hawaii Work"" section today 10/30/09.  Features RevoluSun Partner Marcus Jones..."
168,mark duda president of the statename solar energy association found partner of companyreference speak about feed in tariff @ thinktechhawaii com,Mark Duda President of the Hawaii Solar Energy Association & Founding Partner of RevoluSun.Speaks about Feed In Tariff @ ThinkTechHawaii.com
171,pacific business news today larry mcarthy be announce as dep statename and companyreference 's partner in finance read more at pacific bizjournals com,Pacific Business News today:Larry Mcarthy is announced as DEP Hawaii and RevoluSun's Partner in Finance.Read more at pacific.bizjournals.com
173,part of the rotary club come check out companyreference 's own eric carlson @ the windward club chapter today timereference to learn about solar incentive,Part of the Rotary Club?  Come check out RevoluSun's own Eric Carlson @ the Windward Club Chapter today 12pm to learn about Solar Incentives
174,become a fan of companyreference on face book stay updated with all our companyreference event 's and contest,"Become a Fan of RevoluSun on Face Book,  Stay updated with all our RevoluSun event's and contests!"
182,watch mark duda found partner of companyreference tonight on think tech statename channel @ timereference p m talk about feed in tariff news,Watch Mark Duda founding partner of RevoluSun tonight on Think Tech Hawaii. Channel 54 @ 10:30 p.m.  Talking about Feed-In-Tariff news.
189,rt @nextagenda i upload a youtube video danny kennedy companyreference hyperlink,RT @NextAgenda: I uploaded a YouTube video -- Danny Kennedy Sungevity http://bit.ly/3E1i9k
190,sunpower complete mw power system for uc merced it will generate up to of the campus 's electricity hyperlink,"SunPower completes 1MW power system for UC Merced, it will generate up to 2/3  of the campus's electricity - http://shar.es/ay7y3"
194,companyreference be a full service solar power installation company locate in oakdale cityname we never subcontract,"SUNATION Solar Systems is a full service solar power installation company located in Oakdale, Long Island. We NEVER subcontract."
205,the cityname chamber of commerce be so th century @dannyksfun check out our pres protest climatechange hyperlink,"""The [San Francisco] chamber of commerce is so 20th century"" -@dannyksfun Check out our Pres. protesting #climatechange: http://ow.ly/DLCi"
220,gobble gobble gobble the companyreference family wish you and yours a happy thanksgiving we 're thankful for everyone who can read this,Gobble Gobble Gobble!  The RevoluSun family wishes you and yours a Happy Thanksgiving!  We're thankful for everyone who can read this!
224,another companyreference member receive there plaque today from the recent sei advanced photovoltaics design criterion and nec compliance training,Another RevoluSun member received there Plaque today from the recent SEI Advanced Photovoltaics:Design Criteria and NEC Compliance training.
226,check out companyreference 's own mark duda as he highlight the value of pv hyperlink,Check out RevoluSun's own Mark Duda as he highlights the value of PV!  http://vimeo.com/7932060
238,be hold a solar open house this datereference@ parker pl manoa valley please come by and learn from our staff about this system,"is holding a Solar Open House this Saturday@ 2432 Parker Pl.(Manoa Valley)
Please come by and learn from our staff about this system."
246,companyreference statename check out companyreference client susan chandler and her companyreference system on cnn show run datereference statename hyperlink,RevoluSun Hawaii Check out RevoluSun client Susan Chandler and her RevoluSun system on CNN. Show runs Sunday Hawaii... http://bit.ly/70UVoW
252,i post photo on facebook in the album companyreference 's revolution hyperlink,"I posted 13 photos on Facebook in the album ""RevoluSun's Revolutions"" http://bit.ly/8mw43M"
258,attend a free solar open house in aina haina this datereference to find out how to become energy independent all hyperlink,Attend a free solar open house in Aina Haina this Sunday to find out how to become energy independent.  All... http://bit.ly/6Ptzqs
260,attend a free solar open house in aina haina this datereference to find out how to become energy independent all hyperlink,Attend a free solar open house in Aina Haina this Sunday to find out how to become energy independent. All... http://bit.ly/8u1nKz
274,two of companyreference 's founder win the statename innovation award from gov lingle for their focus on clean energy technology,"Two of RevoluSun's founders win the Hawaii Innovation award from Gov. Lingle, for their focus on clean energy technology."
284,two of companyreference founder win the statename innovation award from governer lingle for their focus on clean energy hyperlink,"Two of RevoluSun Founders win the Hawaii Innovation Award from Governer Lingle, for their focus on clean energy... http://bit.ly/6tIr81"
294,come to solar open house in kailua datereference datereference from timereference to timereference come see how it all work hyperlink,"Come to ""Solar Open House in Kailua"" Saturday, January 23 from 9:00 am to 3:00 pm. Come see how it all works! http://bit.ly/4qrEOt"
310,come to free solar education seminar datereference datereference from timereference to timereference companyreference be present this hyperlink,"Come to ""Free Solar Education Seminar"" Saturday, February 6 from 12:00 pm to 3:00 pm. RevoluSun is presenting this... http://bit.ly/aSiwtv"
318,ceo mark figearo shed some light on companyreference and our approach to energy efficiency hyperlink,CEO Mark Figearo sheds some light on Green Convergence and our approach to energy efficiency..... http://bit.ly/9pWQbW
323,come to solar open house in manoa datereference datereference from timereference to timereference learn how you can become hyperlink,"Come to ""2/13 Solar Open House in Manoa"" Saturday, February 13 from 9:00 am to 3:00 pm. Learn how you can become... http://bit.ly/dxOh1g"
326,solar become more and more affordable soon utility will pay homeowner for excess energy hyperlink,"#Solar becomes more and more affordable!  Soon, utilities will pay homeowners for excess energy! http://tinyurl.com/yjh3xre"
328,have you hear companyreference be the first sunpower dealer in the country to start an alliance program with hyperlink,"Have you heard?! Green Convergence is the first SunPower dealer in the country to start an ""Alliance"" program with... http://bit.ly/cn80EB"
333,the statename energy commission estimate that the average home waste $ a year because of leaky ductwork and hyperlink,The California Energy Commission estimates that the average home wastes $487 a year because of leaky ductwork and... http://bit.ly/br4CAr
342,please help us spread news of the solar industry by become a fan of ours on facebook hyperlink,Please help us spread news of the Solar industry by becoming a fan of ours on #facebook  http://tinyurl.com/yd3bvm8
369,battle phantom load in the fight for home efficiency new companyreference blog post hyperlink,Battling Phantom Loads in the fight for home efficiency. New Sungevity blog post. http://ow.ly/19fLg
374,sweet home efficiency gadget and software new companyreference blog post hyperlink,Sweet home #efficiency gadgets and software. New Sungevity blog post! http://ow.ly/1a76i
383,most excellent loan come through for big solar complex in the world locate in the us hyperlink,Most excellent! Loans coming through for biggest solar complex in the world! located in the US! http://ow.ly/1auno
398,it ' up part of the companyreference blog 's home efficiency campaign energy star and cash for appliance hyperlink,It's up! Part 3 of the Sungevity blog's home efficiency campaign. Energy Star and Cash for Appliances. http://ow.ly/1aUbu
403,the companyreference account have be hack we be sorry for the direct message you datereference have receive we be work to fix it,The RevoluSun account has been hacked. We are sorry for the direct message you may have received - we are working to fix it.
